LR: 0.1, DF: 0, DRT: 0.001
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 009/100]	Epsilon:0.4596	#Expl.:1958/4299	#Buy:1234	#Sell:1574	#Hold:1491	#Stocks:  0.011190	PV:   2633.25	POS:6	NEG:4276	Loss:  0.053193
[Epoch 010/100]	Epsilon:0.4545	#Expl.:1912/4299	#Buy:2227	#Sell:1039	#Hold:1033	#Stocks:  0.000214	PV:   2888.87	POS:9	NEG:4271	Loss:  0.049374
[Epoch 011/100]	Epsilon:0.4495	#Expl.:1936/4299	#Buy:2028	#Sell:1486	#Hold:785	#Stocks:  0.047628	PV:   2232.87	POS:9	NEG:4269	Loss:  0.051460
[Epoch 012/100]	Epsilon:0.4444	#Expl.:1879/4299	#Buy:1962	#Sell:1276	#Hold:1061	#Stocks:  0.474599	PV:   3032.72	POS:4	NEG:4281	Loss:  0.050841
[Epoch 013/100]	Epsilon:0.4394	#Expl.:1883/4299	#Buy:2171	#Sell:1152	#Hold:976	#Stocks:  0.304236	PV:   1944.09	POS:4	NEG:4277	Loss:  0.049680
[Epoch 014/100]	Epsilon:0.4343	#Expl.:1878/4299	#Buy:1665	#Sell:1446	#Hold:1188	#Stocks:  0.456591	PV:   2927.54	POS:6	NEG:4278	Loss:  0.050180
[Epoch 015/100]	Epsilon:0.4293	#Expl.:1831/4299	#Buy:2495	#Sell:1077	#Hold:727	#Stocks:  0.168296	PV:   2286.95	POS:8	NEG:4271	Loss:  0.045124
[Epoch 016/100]	Epsilon:0.4242	#Expl.:1818/4299	#Buy:1397	#Sell:1474	#Hold:1428	#Stocks:  0.000000	PV:   2925.13	POS:5	NEG:4280	Loss:  0.046415
[Epoch 017/100]	Epsilon:0.4192	#Expl.:1737/4299	#Buy:728	#Sell:864	#Hold:2707	#Stocks:  0.000000	PV:   4974.90	POS:2	NEG:4289	Loss:  0.038921
[Epoch 018/100]	Epsilon:0.4141	#Expl.:1696/4299	#Buy:616	#Sell:1067	#Hold:2616	#Stocks:  0.254955	PV:   3997.76	POS:0	NEG:4291	Loss:  0.040252
[Epoch 019/100]	Epsilon:0.4091	#Expl.:1726/4299	#Buy:670	#Sell:1474	#Hold:2155	#Stocks:  0.000000	PV:   3999.78	POS:0	NEG:4291	Loss:  0.039544
[Epoch 020/100]	Epsilon:0.4040	#Expl.:1770/4299	#Buy:659	#Sell:1737	#Hold:1903	#Stocks:  0.378079	PV:   4110.07	POS:2	NEG:4287	Loss:  0.042792
[Epoch 021/100]	Epsilon:0.3990	#Expl.:1729/4299	#Buy:746	#Sell:1805	#Hold:1748	#Stocks:  0.261778	PV:   3717.45	POS:1	NEG:4288	Loss:  0.044321
[Epoch 022/100]	Epsilon:0.3939	#Expl.:1675/4299	#Buy:784	#Sell:1540	#Hold:1975	#Stocks:  0.000000	PV:   4074.05	POS:7	NEG:4278	Loss:  0.049606
[Epoch 023/100]	Epsilon:0.3889	#Expl.:1694/4299	#Buy:723	#Sell:1259	#Hold:2317	#Stocks:  0.000000	PV:   2745.09	POS:2	NEG:4283	Loss:  0.047157
[Epoch 024/100]	Epsilon:0.3838	#Expl.:1616/4299	#Buy:593	#Sell:1081	#Hold:2625	#Stocks:  0.000000	PV:   5359.76	POS:1	NEG:4292	Loss:  0.037497
